POS.,TEAM,PTS.,season
1,Red Bull Racing Honda RBPT,860,2023
2,Mercedes,409,2023
3,Ferrari,406,2023
4,McLaren Mercedes,302,2023
5,Aston Martin Aramco Mercedes,280,2023
6,Alpine Renault,120,2023
7,Williams Mercedes,28,2023
8,AlphaTauri Honda RBPT,25,2023
9,Alfa Romeo Ferrari,16,2023
10,Haas Ferrari,12,2023
1,McLaren Mercedes,666,2024
2,Ferrari,652,2024
3,Red Bull Racing Honda RBPT,589,2024
4,Mercedes,468,2024
5,Aston Martin Aramco Mercedes,94,2024
6,Alpine Renault,65,2024
7,Haas Ferrari,58,2024
8,RB Honda RBPT,46,2024
9,Williams Mercedes,17,2024
10,Kick Sauber Ferrari,4,2024
